Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
Jump Force,Bandai Namco Entertainment,Spike Chunsoft,3850000,2019-02-15,2018-06-11,2019.0
Cyberpunk 2077Read the review,CD Projekt Red Studio,CD Projekt Red Studio,3840000,2020-11-19,2019-06-10,2020.0
Resident Evil VII: BiohazardRead the review,Capcom,Capcom,3830000,2017-01-24,2018-11-06,2017.0
Super Mario Maker,Nintendo,Nintendo,3790000,2016-12-02,2018-03-29,2016.0
1-2-Switch,Nintendo,Nintendo EPD,3740000,2017-03-03,2018-11-19,2017.0
Street Fighter 6,Capcom,Capcom,3700000,2023-06-02,2022-06-02,2023.0
World of Warcraft: Shadowlands,Blizzard Entertainment,Blizzard Entertainment,3700000,2020-10-24,2020-08-05,2020.0
Elden Ring,Bandai Namco Entertainment,From Software,3640000,2022-02-25,2023-01-18,2022.0
Undertale,Toby Fox,Toby Fox,3580000,2015-09-15,2018-01-07,2015.0
Animal Crossing: Happy Home Designer,Nintendo,Nintendo EAD,3510000,2015-09-25,2018-01-14,2015.0
A Way Out,Electronic Arts,Hazelight,3500000,2018-03-23,2020-03-11,2018.0
A Way Out,Electronic Arts,Hazelight,3500000,2018-03-23,2021-02-12,2018.0
Cult of the Lamb,Devolver Digital,Massive Monster,3500000,2022-08-11,2022-08-18,2022.0
Nioh,Koei Tecmo,Team Ninja,3500000,2017-02-09,2020-10-17,2017.0
Resident Evil: Revelations 2,Capcom,Capcom,3500000,2015-02-24,2020-10-11,2015.0
Sonic Frontiers,Sega,Sonic Team,3500000,2022-11-08,2022-12-13,2022.0
Monument Valley 2,Ustwo Games,Ustwo Games,3500000,2017-06-05,2021-01-30,2017.0
Pikmin 4Read the review,Nintendo,Nintendo,3480000,2023-07-21,2022-09-13,2023.0
Paper Mario: The Origami KingRead the review,Nintendo,Intelligent Systems,3470000,2020-07-17,2020-08-01,2020.0
Dying Light,Warner Bros. Interactive Entertainment,Techland,3470000,2016-02-06,2018-05-04,2016.0
The Legend of Zelda: Majora's Mask 3DRead the review,Nintendo,GREZZO,3460000,2015-02-13,2018-01-31,2015.0
World of Warcraft: Battle for Azeroth,Blizzard Entertainment,Blizzard Entertainment,3400000,2018-08-14,2018-04-19,2018.0
Dark Souls: Remastered,Bandai Namco Entertainment,From Software,3390000,2018-05-25,2023-08-04,2018.0
Yoshi's Crafted WorldRead the review,Nintendo,Good-Feel,3350000,2019-03-29,2019-03-22,2019.0
Naruto Shippuden: Ultimate Ninja Storm Trilogy,Bandai Namco Entertainment,CyberConnect2,3340000,2018-04-26,2022-08-31,2018.0
Super Mario RPGRead the review,Nintendo,Nintendo,3310000,2023-11-17,2023-06-21,2023.0
Horizon: Zero Dawn,PlayStation Mobile Inc.,Guerrilla Games,3300000,2020-08-07,2020-08-05,2020.0
World of Warcraft: Legion,Blizzard Entertainment,Blizzard Entertainment,3300000,2016-08-29,2018-04-22,2016.0
Dark Souls III,Namco Bandai Games,From Software,3290000,2016-04-11,2018-11-02,2016.0
Dragon Ball Z: KakarotRead the review,Bandai Namco Games,CyberConnect2,3220000,2020-01-17,2019-07-23,2020.0
Lego Star Wars: The Skywalker Saga,Warner Bros. Interactive Entertainment,TT Games,3200000,2022-04-05,2022-04-22,2022.0
Street Fighter 30th Anniversary Collection,Capcom,Capcom,3200000,2018-05-29,2020-10-12,2018.0
Naruto to Boruto: Shinobi Striker,Bandai Namco Entertainment,Soleil Software Studio Inc.,3180000,2018-08-31,2023-08-05,2018.0
Fire Emblem Fates,Nintendo,Intelligent Systems,3090000,2016-02-19,2017-12-31,2016.0
Elden Ring,Bandai Namco Entertainment,From Software,3040000,2022-02-25,2023-01-18,2022.0
Metroid DreadRead the review,Nintendo,Nintendo,3040000,2021-10-08,2021-06-15,2021.0
Miitopia,Nintendo,Nintendo,3010000,2017-07-28,2021-08-05,2017.0
Armored Core VI Fires of Rubicon,Bandai Namco Entertainment,From Software,3000000,2023-08-24,2024-07-25,2023.0
Code Vein,Bandai Namco Entertainment,Bandai Namco Studios,3000000,2019-09-27,2020-02-04,2019.0
Code Vein,Bandai Namco Entertainment,Bandai Namco Studios,3000000,2019-09-27,2020-10-09,2019.0
Crusader Kings III,Paradox Interactive,Paradox Development,3000000,2020-09-01,2024-05-17,2020.0
Dave the Diver,Mintrocket,Mintrocket,3000000,2023-06-28,2024-01-03,2023.0
Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles,Sega,CyberConnect2,3000000,2021-10-15,2022-01-04,2021.0
Dragon's Dogma 2,Capcom,Capcom,3000000,2024-03-22,2024-04-03,2024.0
Enter the Gungeon,Devolver Digital,Dodge Roll,3000000,2016-04-05,2021-01-21,2016.0
Farming Simulator 22,Giants Software,Giants Software,3000000,2021-11-22,2021-12-01,2021.0
